ID,Credit_Card_Name,Image,Image_File,Issuer,Category,Annual_Fee,Annual_Fee_Detail,Additional_Card_Fee,Additional_Card_Detail,Purchase_Interest_Rate,Cash_Advance_Interest_Rate,Rewards_Program,Welcome_Bonus,Welcome_Bonus_Detailed,Welcome_Bonus_Value,Welcome_Bonus_Eligbility,Features,Features_Detailed,Card_Eligibility,Insurance,Product_Link
23,WestJet RBC World Elite Mastercard,,WestJet RBC World Elite Mastercard.png,RBC,Travel,$119,"$139 (increasing from $119, effective for approvals or renewals on or after December 1, 2025)",$59,$59 per additional card,20.99%,22.99%,WestJet Dollars,"Get up to 70,000 WestJet points","You will receive up to 30,000 welcome WestJet points upon your first purchase distributed as follows: (i) 25, 000 Welcome WestJet Points up to six (6) weeks after your first purchase transaction date; and (ii) 5,000 Welcome WestJet Points up to twelve (12) weeks after your first purchase transaction date, provided your first purchase gets posted to your WestJet RBC World Elite Mastercard credit card account within the first three (3) months of your Credit Card Account opening date. You will receive an additional 30,000 WestJet points provided a total of $5,000 or more in qualifying net purchases and/or pre-authorized bill payment transactions are posted to your Credit Card Account within the Period. You will receive an additional 10,000 WestJet points up to sixteen (16) weeks after your Credit Card Account has been open for one (1) year.",up to $700,"Only the primary cardholder on the Credit Card Account is eligible for this offer. Additional cardholders(s) (co-applicant and authorized user(s)), as well as existing cardholders on any RBC Royal Bank personal credit card account, transferring to a WestJet RBC World Elite Mastercard during the Offer Period, are not eligible for this offer.","Earn 2 points for every dollar you spend on WestJet flights, WestJet Vacations, and Sunwing Vacations. Earn 2 points for every dollar you spend at grocery stores and on transportation including gas, EV charging, public transit and rideshare. Earn 1.5 points for every dollar you spend on all other everyday purchases","Earn (i) 2 WestJet points per $1 spent on eligible WestJet flights, WestJet Vacations packages and Sunwing Vacations packages, and (ii) 1.5 WestJet points per $1 spent on all other purchases when you pay with your WestJet RBC World Elite Mastercard. Earn (i) 2 WestJet points per $1 spent on eligible purchases in the following categories: Grocery Stores and Supermarkets, Gas, Electric Vehicle Charging, and Public Transit including Rideshare, and (ii) 1.5 WestJet points per $1 spent on all other purchases when you pay with your WestJet RBC World Elite Mastercard.","This card requires a minimum personal income of $80,000 or a minimum household income of $150,000.",,https://www.rbcroyalbank.com/credit-cards/travel/westjet-rbc-world-elite-mastercard.html
24,RBC ION Visa,,RBC ION Visa.png,RBC,Rewards,$0,No annual fee,$0,$0,20.99%,22.99%,Avion,"Get up to 11,000 Avion points","Get 4,000 Welcome Points and earn 7,000 bonus points when you spend $500 in your first 3 months",up to $75 of value in gift cards,"This offer only applies to new applications for an RBC ION Visa credit card received between January 21, 2026 and May 6, 2026 (""Offer Period"") and approved by Royal Bank of Canada","Earn 1.5X Avion points for every $1 spent on groceries, gas, rideshare, streaming services and more
1x
Earn 1X Avion point for every $1 spent on all other qualifying purchases","You will earn 1.5 Avion points for every $1.00 in Grocery, Rides, Gas, Electric Vehicle Charging, Streaming, and Digital Gaming & Subscriptions Purchases you make on your RBC ION Visa credit card at merchants classified by Visa's ""Merchant Category Code"" (MCC).
You will earn 1 Avion point for every $1.00 on all other purchases (including pre-authorized bill payments) you make on your RBC ION Visa credit card.","Must be a Canadian citizen or resident. You must be the age of majority (18 or 19 years old, depending on the province you live in). Recommended credit score 660+",,https://www.rbcroyalbank.com/credit-cards/rewards/rbc-ion-visa.html
25,RBC Cash Back Preferred World Elite Mastercard,,RBC Cash Back Preferred World Elite Mastercard.png,RBC,Cash Back,$99,$99,$0,,20.99%,22.99%,Cash Back,"Get 12% cash back for the first 3 months on up to $2,000 in total purchases","You will earn a total of up to 12% cash back credit on Net Purchases (""Welcome Bonus"") made with your RBC Cash Back Preferred World Elite Mastercard within the first 3 months from your account open date, up to a maximum of $2,000 in Net Purchases per credit card account (""Offer"") provided that your RBC Cash Back Preferred World Elite Mastercard credit card account (""Credit Card Account"") remains open and in good standing at the time the Welcome points are credited to your account.","Get 12% cash back for the first 3 months on up to $2,000 in total purchases","Additional cardholders(s) (co-applicant and authorized user(s)) on the RBC Cash Back Preferred World Elite Mastercard credit card account, as well as existing cardholders on any RBC Royal Bank personal credit card transferring to an RBC Cash Back Preferred World Elite Mastercard credit card during the Offer Period, are not eligible for this offer.","Get up to 1.5% cash back on all your spending, with no limit to the total cash back you earn","Get up to 1.5% cash back on all your spending, with no limit to the total cash back you earn","A minimum personal income of $80,000 or a minimum household income of $150,000 is required for this card.",,https://www.rbcroyalbank.com/credit-cards/cash-back/rbc-preferred-world-elite-mastercard.html
26,RBC Cash Back Mastercard,,RBC Cash Back Mastercard.png,RBC,Cash Back,$0,No annual fee,$0,$0,20.99%,22.99%,Cash Back,"Get up to 7% cash back for the first 3 months on up to $1,000 in total purchases","You will earn an additional $5.00 back for every $100.00 (5% Cash Back Credit) in Net Purchases (including pre-authorized bill payments) charged on your RBC Cash Back Mastercard account within the first 3 months of account opening, up to a maximum total combined spend of $1,000 (""Welcome Bonus""). Thereafter, the standard Cash Back Credit earn rates of up to 2% on Grocery Store Purchases and up to 1% on other Net Purchases (that are not Grocery Store Purchases) apply.","Get up to 7% cash back for the first 3 months on up to $1,000 in total purchases","This offer only applies to new applications for an RBC Cash Back Mastercard credit card received between December 10, 2025 and March 25, 2026",Get up to 2% cash back on grocery store purchases and up to 1% cash back on all your other everyday purchases,Earn up to 2% cash back on your grocery store purchases and up to 1% cash back on your everyday purchases including your favourite online and wholesale retailers,,,https://www.rbcroyalbank.com/credit-cards/cash-back/rbc-cashback-mastercard.html
27,RBC Visa Classic Low Rate Option,,RBC Visa Classic Low Rate Option.png,RBC,Low Interest,$20,no annual fee for the first year,$0,$0,12.99%,12.99%,N/A,Enjoy a 0.99% introductory interest rate for the first 10 months on balance transfers,Enjoy a 0.99% introductory interest rate for the first 10 months on balance transfers,"0.99% introductory interest rate for the first 10 months on balance transfers (apply by March 25, 2026).","Additional cardholders(s) (co-applicant and authorized user(s)) on the RBC Visa Classic Low Rate Option credit card account, as well as existing cardholders on any RBC Royal Bank personal credit card transferring to an RBC Visa Classic Low Rate Option credit card during the Offer Period, are not eligible for this offer.","Get special partner offers from brands like Petro Canada, Rexall and DoorDash.","Save 3/L on fuel and earn 20% more Petro-Points when you pay with an eligible linked RBC card
Link your eligible RBC Card and earn 50 Be Well points on every $1 spent on eligible purchases at Rexall
Get a 6-month complimentary DashPass subscription - a value of almost $60. Plus, enjoy unlimited deliveries with $0 delivery fees on qualifying orders of $15 or more when you pay with your eligible RBC credit card",Generally available to Canadian residents who have reached the age of majority. No specific minimum income is required.,,https://www.rbcroyalbank.com/credit-cards/low-interest/rbc-visa-classic-low-rate.html
28,RBC Avion Visa Infinite Privilege,,RBC Avion Visa Infinite Privilege.png,RBC,Rewards,$399,$399,$99,$99 per card,20.99%,22.99%,Avion,"Get up to 70,000 Avion points","35,000 Get 35,000 Avion points upon approval
1
(travel value of up to $750

)You will receive 20,000 bonus Avion points (""
Bonus Points
"") if a total of $5,000 or more (""
Qualifying Transaction Amount
"") in qualifying net purchases and/or pre-authorized bill payment transactions (""
Qualifying Transactions
"") are posted to your Credit Card Account within the first six (6) months from your Credit Card Account opening date (""
Period
"").15,000 additional Avion points (""
Anniversary Points
"") will appear on your monthly credit card statement within twelve (12) to sixteen (16) weeks after the one- year anniversary of your account opening","up to $1,500","Additional cardholders(s) (co-applicant and authorized user(s)) on the RBC Avion Visa Infinite Privilege credit card account, as well as existing cardholders on any RBC Royal Bank personal credit card account transferring to an RBC Avion Visa Infinite Privilege credit card account during the Offer Period, are not eligible for the offer.","1.25X
Earn 1.25 Avion Points on all qualifying purchases
2
2x
Get double the redemption value on Business and First-Class Tickets",,"A minimum personal income of $200,000 or a minimum household income of $200,000 is required for this card.",,https://www.rbcroyalbank.com/credit-cards/travel/rbc-avion-visa-infinite-privilege.html
29,RBC Avion Visa Platinum,,RBC Avion Visa Platinum.png,RBC,Rewards,$120,$120,$50,$50 per additional card,20.99%,22.99%,Avion,"Get up to 55,000 Avion points","Get 35,000 Welcome Points on approval and 20,000 bonus points when you spend $5,000 in your first 6 months","$1,100",Applicants must not currently have the RBC Avion Visa Platinum card,Earn 1 Avion point on travel related purchases. Earn 1 Avion point on all other eligible purchases,"Earn 1.25 Avion points for every $1 spent on travel-related purchases, and 1 point per $1 on all other purchases","Unlike the Avion Visa Infinite, the Avion Visa Platinum often has no strict minimum income requirement, making it more accessible. Credit Score: Good to Excellent. Must be a permanent resident of Canada",,https://www.rbcroyalbank.com/credit-cards/travel/rbc-visa-platinum-avion.html
30,RBC Visa Platinum,,RBC Visa Platinum.png,RBC,,$0,No annual fee,$0,$0,20.99%,22.99%,Earns Petro-Points (20% more) and access to Avion Rewards.,"Often none, as it is a strictly no-fee card focused on savings.",,,,"Unlock Deals from Avion Rewards. Access offers from over 2,000 top brands, plus get even more points and savings from our partners such as Petro-Canada, Rexall and DoorDash.","No annual fee ($0), 3/L fuel savings at Petro-Canada, purchase security, and extended warranty.",Generally available to Canadian residents with no strict minimum income requirement.,,https://www.rbcroyalbank.com/credit-cards/no-fee/rbc-visa-platinum.html
31,RBC RateAdvantage Visa,,RBC RateAdvantage Visa.png,RBC,Low Interest,$0,No annual fee,$0,$0,Prime + 4.99%,Prime + 4.99%,N/A,N/A,N/A,N/A,N/A,"Save money with a low interest rate
Protect your purchases
Save and Earn Faster with RBC Offers","The low, variable interest rate is based on your credit rating
1
. The better your rating, the lower your rate!
Purchase Security and Extended Warranty Insurance
4
automatically protects card purchases against loss, theft or damage for up to 90 days, and doubles the manufacturer's original Canadian warranty for up to one extra year. For more details,
click here
.
Load personalized offers for great brands before you shop to get cash savings or to earn bonus points faster.",Canadian resident who has reached the provincial age of majority.,,https://www.rbcroyalbank.com/credit-cards/low-interest/rbc-rateadvantage-visa.html
32,RBC U.S. Dollar Visa Gold,,RBC U.S. Dollar Visa Gold.png,RBC,US,$65 USD,$65 USD per year.,$30 USD,$30 USD per additional card.,20.99%,22.99%,Avion Rewards,There is currently no listed welcome offer for this specific card.,N/A,N/A,N/A,Earn 1 Avion point for every U.S. $1 you spend on qualifying purchases,Earn 1 Avion point for every U.S. $1 you spend on qualifying purchases,"Must be a permanent resident of Canada.
Income Requirement:
Personal/Household income is listed as $0 (no minimum indicated).
Credit Score:
Generally requires a good to excellent credit score (typically 760-900).
Requirements:
Requires an RBC U.S. dollar bank account to pay the statement, though it is not strictly required to apply for the card itself.",,https://www.rbcroyalbank.com/credit-cards/travel/rbc-us-dollar-visa-gold.html
33,WestJet RBC Mastercard,,WestJet RBC Mastercard.png,RBC,Travel,$39,$139,$19,$59,20.99%,22.99%,WestJet Dollars,"Get up to 15,000 WestJet points","You will receive 5,000 welcome WestJet points upon your first purchase. To receive the additional 10,000 WestJet points ( ""Additional WestJet Points ""), (i) a total of $1,000 ("" Qualifying Transaction Amount "") or more in qualifying net purchases and/or pre-authorized bill payment transactions ( ""Qualifying Transactions "") must be posted to your Credit Card Account within the first three (3) months of your Credit Card Account opening date ( ""Period "")",up to $150,"Only the primary cardholder on the Credit Card Account is eligible for this offer. Additional cardholders(s) (co-applicant and authorized user(s)), as well as existing cardholders on any RBC Royal Bank personal credit card account, transferring to a WestJet RBC Mastercard, are not eligible for this offer.","Earn 1.5 points for every dollar you spend on WestJet flights, WestJet Vacations, and Sunwing Vacations. Earn 1.5 points for every dollar you spend on restaurants, food delivery, digital subscriptions, streaming services and digital games. Earn 1 point for every dollar you spend on everyday purchases","Earn (i) 1.5 WestJet points per $1 spent on eligible WestJet flights, WestJet Vacations packages and Sunwing Vacations packages ( ""Eligible Travel ""), and (ii) 1 WestJet point per $1 spent on all other purchases when you pay with your WestJet RBC Mastercard. Earn (i) 1.5 WestJet points per $1 spent on eligible purchases in the following categories: Restaurants, Food Delivery Services, Digital Subscriptions, Streaming Services and Digital Games","This card requires a minimum personal income of $80,000 or a minimum household income of $150,000.",,https://www.rbcroyalbank.com/credit-cards/travel/westjet-rbc-mastercard.html
34,RBC British Airways Visa Infinite,,RBC British Airways Visa Infinite.png,RBC,Travel,$165,$165 annual fee,$75,,20.50%,22.99%,Avios,"Receive up to 60,000 bonus Avios","This offer only applies to new applications for a RBC British Airways Visa Infinite credit card received and approved by Royal Bank of Canada between July 23, 2025 and March 31, 2026.","up to 60,000 Avios","Existing cardholders on any RBC Royal Bank personal credit card account transferring to a RBC British Airways Visa Infinite credit card, are not eligible for the offer.","Earn 3 Avios for every dollar you spend on British Airways purchases
2 Avios
Earn 2 Avios for every dollar you spend on dining and food delivery
2
1 Avios
Earn 1 Avios for every dollar you spend on all other qualifying purchases","You will earn 3 Avios points for every $1.00 spent on British Airways purchases, including British Airways Holidays purchases you make on your RBC British Airways Visa Infinite credit card, provided that these purchases have been made directly through British Airways, classified by Visa's Merchant Category Code MCC 3005. You will earn 2 Avios points for every $1.00 spent on dining and food delivery purchases you make on your RBC British Airways Visa Infinite credit card at merchants that are classified by the following eligible Visa's Merchant Category Code (""Eligible MCCs""). You will earn 1 Avios per $1 CAD spent on all other qualifying net purchases when you use your RBC British Airways Visa Infinite card.","Note: This card requires a minimum personal income of $60,000 or a minimum household income of $100,000.",,https://www.rbcroyalbank.com/credit-cards/travel/rbc-british-airways-visa-infinite.html
35,Scotiabank Passport Visa Infinite Card,,Scotiabank Passport Visa Infinite Card.png,Scotiabank,Rewards,$150,$150 / year. Waived with an eligible bank account,$0,$0 / year for the first card. $50/year for each additional card,20.99%,22.99%,Scene+ Points,"Get up to $1,500 in value in the first year, including a 60,000 bonus Scene+ point offer with minimum spend","Earn 40,000 bonus Scene+ points by making at least $2,000 in everyday eligible purchases in your first 3 months. Earn 10,000 bonus Scene+ points by making at least $10,000 in everyday eligible purchases in your first 6 months. Plus, as a Scotiabank Passport Visa Infinite cardholder, you are eligible to earn an annual 10,000 Scene+ point bonus when you spend at least $40,000 in everyday eligible purchases annually.","$1,500","Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switch from an existing Scotiabank personal credit card, as well as employees of Scotiabank, are not eligible for the 40,000 and Additional 10,000 bonus points offers. All cardholders remain eligible to earn the annual Scene+ point bonus with an annual spend of at least $40,000.",No foreign transaction fees. Get six complimentary airport lounge passes. Earn Scene+ points on travel purchases. Annual points bonus.,"No foreign transaction fees. Get six complimentary airport lounge passes. Earn 1 Scene+ point for every $1 you spend on eligible travel purchases. Plus, earn an extra 3 Scene+ points for every $1 you spend on hotels and car rentals when you book through Scene+ Travel, Powered by Expedia. Each year, earn 10,000 bonus Scene+ points when you spend $40,000 on your Scotiabank Passport Visa Infinite Card. After that, you'll earn an extra 2,000 points for every additional $10,000 you spend in that year.","You have a minimum income of $60,000 per year, a minimum household income of $100,000, or a minimum of $250,000 assets under management.",,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/passport-infinite-card.html
36,Scotia Momentum Visa Infinite Card,,Scotia Momentum Visa Infinite Card.png,Scotiabank,Cash Back,$120,$120 / year. First-year annual fee waived with special offer,$50,$50 / year. First-year annual fee waived with special offer,20.99%,22.99%,Cash back,"Get 10% cash back on up to $2,000 in purchases in the first three months.","To qualify, open a new Scotia Momentum  Visa Infinite * credit card account between October 31, 2025 and April 30, 2026.
For your first three months, you'll get 10% Cash Back on up to $2,000 in eligible purchases.
You'll receive your Cash Back in two ways:
Your bonus Cash Back can be redeemed to your account about 4 months from the account open date
Your regular Cash Back can be redeemed to your account anytime so long as you have minimum of $25
Additional conditions apply, check out the Terms & Conditions for all the details.",$200 cash back bonus,"Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switch from an existing Scotiabank personal credit card, as well as employees of Scotiabank, are not eligible for the Offer.","Earn 4% Cash Back on grocery and recurring payments
Enjoy peace of mind with travel insurance
Stay covered with mobile device insurance","Earn 4% Cash Back on grocery and recurring payments
Enjoy peace of mind with travel insurance
Stay covered with mobile device insurance
Earn 4% Cash Back on grocery and recurring payments
Enjoy peace of mind with travel insurance
Stay covered with mobile device insurance","You have a minimum annual income of $60,000, a minimum household income of $100,000, or a minimum of $250,000 assets under management.",,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/momentum-infinite-card.html
37,Scotiabank Gold American Express Card,,Scotiabank Gold American Express Card.png,Scotiabank,Rewards,$120,$120 / year. Waived with an eligible bank account,$29,$29 / year,20.99%,22.99%,Scene+ Points,"Earn up to $850 in welcome offers, first year rewards and savings value, and up to 45,000 bonus Scene+ points.","Earn 25,000 bonus Scene+ points by making at least $2,000 in everyday eligible purchases in your first 3 months. You are eligible to earn an additional 20,000 Scene+ point bonus when you spend at least $7,500 in everyday eligible purchases in your first year.",up to $850,"Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switch from an existing Scotiabank personal credit card, as well as employees of Scotiabank, are not eligible for this offer.",Earn up to 6X the Scene+ points. No foreign transaction fees. Skip to the Front of the Line with Amex,"Earn 6x points on every $1 CAD spent at Sobeys, Safeway, FreshCo, Foodland, and other eligible grocery stores. 5x points on dining (restaurants, fast food), food delivery, streaming services, and entertainment (movies, theatres). 3x points on gas and daily transit (rideshares, buses, taxis). 1x points on all other eligible everyday purchases. No Foreign Transaction Fees: saving 2.5% on all foreign currency purchases.","You have a minimum personal income of $12,000 per year.",,https://www.scotiabank.com/ca/en/personal/credit-cards/american-express/gold-card.html
38,Scotiabank Scene+ Visa Card,,Scotiabank Scene+ Visa Card.png,Scotiabank,Rewards,$0,$0 / year,$0,$0 / year,20.99%,22.99%,Scene+ Points,"Earn up to 10,000 bonus Scene+ points in your first 3 months.","To qualify for the 10,000 bonus Scene+ points offer:
Earn 2,500 bonus Scene+ points by making at least $250 in everyday eligible purchases in your first 3 months.
You are eligible to earn an additional 7,500 Scene+ point bonus when you spend at least $1,000 in everyday eligible purchases in your first 3 months.","up to 10,000 bonus Scene+ points","Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switch from an existing Scotiabank personal credit card, as well as employees of Scotiabank, are not eligible for this offer.",Earn Scene+ points on every purchase,"Earn 2 Scene+ points on every $1 you spend at Sobeys, Safeway, IGA, Foodland & Participating Co-ops and more. Plus, earn 1 Scene+ point for every $1 you spend everywhere else.","Only purchases earn Scene+ Points. Cash advances (including Balance Transfers, and Cash-Like Transactions), fees, interest or other charges",,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/scene-card.html
39,Scotia Momentum Visa Card,,Scotia Momentum Visa Card.png,Scotiabank,Low Interest,$39,$49 / year,$15,$15 / year,19.99%,22.99%,Cash back,N/A,N/A,N/A,N/A,Earn up to 2% cash back on select purchases,"Earn up to 2% Cash Back on your eligible everyday purchases when you shop with your card.

2
%
On groceries, food delivery and food subscription services, and drugstore purchases

2
%
On gas, electric vehicle charging, and daily transit like buses, taxis, and rideshares

2
%
On eligible recurring bill payments like utilities and gym memberships

2
%
On eligible recurring subscription services like music and video streaming

1
%
On all other eligible purchases",Be a Canadian resident or a permanent resident. Be the age of majority in your province or territory of residence.,,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/momentum-cash-back-card.html
40,Scotia Momentum No-Fee Visa Card,,Scotia Momentum No-Fee Visa Card.png,Scotiabank,Cash Back,$0,No Annual Fee,$0,$0 / year,19.99%,22.99%,Cash back,"Get 5% cash back on up to $2,000 in purchases in the first 3 months.","To qualify, open a new Scotia Momentum  No Fee * credit card account between October 31, 2025 and April 30, 2026.
For your first three months, you'll get 5% Cash Back on up to $2,000 in eligible purchases.",up to $100,"Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switched to an existing Scotiabank personal credit card are not eligible for the Offer",Earn up to 1% cash back on select purchases,"You will earn 1% Cash Back on eligible Purchases on your Account at Grocery, Gas Stations, Electric Vehicle Charging (EV), Transit, Rideshare, Food Delivery, Drugstores and Pharmacies, and on Recurring Bill Payments, up to an annual spend limit of $15,000. 0.5% Cash Back (the ""Regular Earn Rate"") on eligible Purchases made on your Account after you have reached the annual spend limit of $15,000 on the 1% earn rate categories (the ""Accelerated Earn Rate"") and on all other eligible Purchases made with the Account that are not within the Accelerated Earn Rate categories.",Minimum income $12K/yr,,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/momentum-no-fee-card.html
41,Scotiabank American Express Card,,Scotiabank American Express Card.png,Scotiabank,Rewards,$0,No Annual Fee,$0/year,$0,19.99%,22.99%,Scene+ Points,"Earn up to 5,000 bonus Scene+ points","Earn 2,500 bonus Scene+ points by making at least $250 in everyday eligible purchases in your first 3 months.
You are eligible to earn an additional 2,500 Scene+ point bonus when you spend at least $1,000 in everyday eligible purchases in your first 3 months.",up to $50,"Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switch from an existing Scotiabank personal credit card, as well as employees of Scotiabank, are not eligible for this offer.","Earn
3 Scene+ points
on every $1 you spend at Sobeys, Safeway, FreshCo, Foodland and
more.
Earn
2 Scene+ points
for every $1 you spend on
restaurants, fast food, drinking establishments, and other eligible grocery stores. Includes popular food delivery and food subscriptions.
Earn
2 Scene+ points
for every $1 you spend on eligible entertainment purchases. Includes movies, theatre, and ticket agencies.
Earn
2 Scene+ points
for every $1 you spend on eligible gas and daily transit. Includes rideshare, buses, taxis, subway, and more.
Earn
2 Scene+ points
for every $1 you spend on eligible select streaming services.
Plus earn 1
Scene+ point
for every $1 spent on all other eligible everyday purchases.","You are awarded three (3) Scene+ Points for every eligible $1.00 purchase made at
Sobeys, IGA, Safeway, Foodland, FreshCo, Voila by Sobeys, Voila by IGA, Voila by Safeway, Chalo! FreshCo, Thrifty Foods, IGA West, Les Marches Tradition, Rachelle Bery, and Co-Op locations charged and posted to the Scotiabank American Express Account.
Additionally, you are awarded two (2) Scene+ Points for every eligible $1.00 purchase all other grocery (not listed above), dining, entertainment, gas, daily transit and select streaming services charged and posted to the Scotiabank American Express Account
You are awarded one (1) Scene+ Point for every $1.00 in all other purchases of goods and services charged to the Scotiabank American Express Account",Must be a Canadian resident and have reached the age of majority in their province/territory.,,https://www.scotiabank.com/ca/en/personal/credit-cards/american-express/no-fee-amex-card.html
42,Scotiabank Platinum American Express Card,,Scotiabank Platinum American Express Card.png,Scotiabank,Rewards,$399,$399,$99/year,$99 for each supplementary card (including co-borrowers). $49 for additional cards if the primary cardholder is a Private Banking customer.,9.99%,9.99%,Scene+ Points,"Earn up to $2,500* in value","Earn 60,000 bonus Scene+ points by making at least $3,000 in everyday eligible purchases in your first 3 months.
You are eligible to earn a 20,000 Scene+ point bonus when you spend at least $10,000 in everyday eligible purchases in your first 14 months.","$2,500","Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switch from an existing Scotiabank personal credit card, as well as employees of Scotiabank, are not eligible for this offer.",Earn 2 Scene+ points for every $1 you spend on all your eligible purchases,"Scene+ Points are awarded for purchases charged to your Scotiabank Platinum American Express Credit Card Account (""the Account""). The regular earn rate is two (2) Points per $1.00 in purchases charged and posted to the Account.","Must be a Canadian resident and of the age of majority in their province or territory. Minimum $12,000 per year personal income. A good to excellent credit score is typically required (recommended 760+).",,https://www.scotiabank.com/ca/en/personal/credit-cards/american-express/platinum-card.html
43,Scotia Momentum Mastercard credit card,,Scotia Momentum Mastercard credit card.png,Scotiabank,Cash Back,$0,No Annual Fee,$0 /year,no fee for each additional card,20.99%,22.99%,Cash back,,,,,"Earn 1% cash back on all eligible gas station, grocery store, drug store purchases and recurring payments. Earn 0.5% cash back on all other eligible purchases.","You will earn 1% cash back on net purchases made with your eligible Scotia Momentum Mastercard credit card at gas stations, grocery stores and drug stores as classified by Mastercard (Merchant Codes: 5411, 5541, 5542 & 5912). You will earn 0.5% cash back on all other eligible purchases made with your Scotia Momentum Mastercard credit card.",,,https://www.scotiabank.com/ca/en/personal/credit-cards/mastercard/momentum-card.html
44,Scotiabank U.S. Dollar Visa Card,,Scotiabank U.S. Dollar Visa Card.png,Scotiabank,US,$35,US$35 per year.,$0,$0 /year,19.99%,22.99%,N/A,"There is generally no welcome bonus or points program associated with this card, as it focuses on foreign exchange savings.","No points, cash back, or rewards are earned on purchases.",$0.00,Not applicable.,Save on car rentals,"As a Scotiabank U.S. Dollar Visa* Cardholder, you can save up to 25% off base rates at participating AVIS and Budget locations in Canada and the U.S. when you pay with your Scotiabank U.S. Dollar Visa* card.","Minimum Personal Income:
$12,000 per year.
Credit Score:
Good credit score typically required (650+ recommended).
Residency:
Must be a Canadian resident and have reached the age of majority in their province/territory.",,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/us-card.html
45,Scotiabank Value Visa Card,,Scotiabank Value Visa Card.png,Scotiabank,Low Interest,$29,First-year fee is waived with special offer,$0,$0 / year,13.99%,13.99%,N/A,"Get a 0.99% promotional interest rate on balance transfers for your first 9 months with a 2% balance transfer fee. Plus, pay no annual fee during your first year.",0.99% introductory interest rate on balance transfers for the first 9 months. A 2% fee applies to the transferred amount. No annual fee ($0) for the primary card in the first year (regular fee is $29). Some affiliates may offer a $60 cash bonus (FlyerFunds) upon approval.,,"You must not currently be, or have previously been, a primary or secondary cardholder of a Scotiabank personal credit card in the past 2 years. Individuals who switched to a different Scotiabank card in the past 2 years are ineligible. The offer is valid if the account remains in good standing.",Save up to hundreds on interest every year,"Save up to hundreds on interest every year
Pay down higher interest rate balances faster
Transfer higher rate balances and save even more","$12,000 per year (individual). Must be a Canadian citizen or permanent resident. Must have reached the age of majority in your province or territory. A fair-to-good credit score is generally required, estimated around 660-724.",,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/value-card.html
46,Scotiabank Scene+ Visa Card (for students),,Scotiabank Scene+ Visa Card (for students).png,Scotiabank,Student,$0,No Annual Fee,$0,$0 / year,20.99%,22.99%,Scene+ Points,"Earn up to 10,000 bonus Scene+ points in your first 3 months.","Earn 2,500 bonus Scene+ points by making at least $250 in everyday eligible purchases in your first 3 months.
You are eligible to earn an additional 7,500 Scene+ point bonus when you spend at least $1,000 in everyday eligible purchases in your first 3 months.","up to 10,000 bonus Scene+ points ($100 value)","Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switch from an existing Scotiabank personal credit card, as well as employees of Scotiabank, are not eligible for this offer.",Earn Scene+ points on every purchase,"You are awarded one (1) Scene+ Point for every $1.00 in all purchases of goods and services charged to the Scotiabank Scene+ Visa Account (the ""Account"").
You will earn accelerated earn rates on the following eligible purchases charged to the Account:
Grocery Stores
You are awarded two (2) Scene+ Points for every eligible $1.00 purchase made at Sobeys, Safeway, participating IGA, Foodland, Foodland & Participating Co-ops, FreshCo, Chalo! FreshCo, Thrifty Foods, Rachelle Bery, Les Marches Tradition, Voila by Sobeys, Voila by Safeway and Voila par IGA locations charged and posted to the Scotiabank Scene+ Visa Account.
Home Hardware Stores
You are awarded two (2) Scene+ Points for every eligible $1.00 purchase made at eligible Home Hardware, Home Building Centre, Home Hardware Building Centre, Home Furniture locations in Canada and online at homehardware.ca charged and posted to the Scotiabank Scene+ Visa Account.
Cineplex
You are awarded two (2) Scene+ Points for every $1.00 purchase made at Cineplex theaters, the Cineplex App and online at cineplex.com charged and posted to the Account.","Must be enrolled in a certificate, diploma, or degree program at a Canadian post-secondary institution. Canadian citizens or permanent residents.",,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/scene-student-card.html
